Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
20-Percentiel,18,P20,20-Percentiel,Percentielen,2011-06-11,x%-percentiel
15-Percentiel,17,P15,15-Percentiel,Percentielen,2011-06-11,x%-percentiel
10-Percentiel,16,P10,10-Percentiel,Percentielen,2011-06-11,x%-percentiel
5-Percentiel,15,P05,5-Percentiel,Percentielen,2011-06-11,x%-percentiel
Aantal meetwaarden,14,NUM,Aantal meetwaarden,Statistiek,2011-06-11,
Aantal meetwaarden onder minimum detectiegrens,13,NON,Aantal meetwaarden onder minimum detectiegrens,Statistiek,2011-06-11,
Aantal meetwaarden boven maximum detectiegrens,12,NBO,Aantal meetwaarden boven maximum detectiegrens,Statistiek,2011-06-11,
Minimum,11,MIN,Minimum,Statistiek,2011-06-11,minimum waarde
50-Percentiel (mediaan),10,MED,50-Percentiel (mediaan),Percentielen,2011-06-11,x%-percentiel
Berekend,1,BER,Berekend,Methodiek,2011-06-11,berekende waarde
