Pagina,Id,Code,Omschrijving,Groep,Begin geldigheid,Gerelateerd
"verbreden (snel) stromend water / hermeanderen, NVO groter dan 3 m en kleiner dan 10 m",40,IN05,"verbreden (snel) stromend water / hermeanderen, NVO groter dan 3 m en kleiner dan 10 m",Inrichtingsmaatregelen,2011-10-01,
verwijderen eutrofe bagger,4,BE04,verwijderen eutrofe bagger,Beheermaatregelen,2011-10-01,
"verbreden (snel) stromend water / hermeanderen, NVO kleiner dan 3 m",39,IN04,"verbreden (snel) stromend water / hermeanderen, NVO kleiner dan 3 m",Inrichtingsmaatregelen,2011-10-01,
invoeren/wijzigen doorspoelen,38,IN03,invoeren/wijzigen doorspoelen,Inrichtingsmaatregelen,2011-10-01,
omleiden/scheiden waterstromen,37,IN02,omleiden/scheiden waterstromen,Inrichtingsmaatregelen,2011-10-01,
vasthouden water in haarvaten van het systeem,36,IN01,vasthouden water in haarvaten van het systeem,Inrichtingsmaatregelen,2011-10-01,
overige immissiemaatregelen,35,IM12,overige immissiemaatregelen,Immissiemaatregelen,2011-10-01,
saneren verontreinigde landbodem en/of grondwater,34,IM11,saneren verontreinigde landbodem en/of grondwater,Immissiemaatregelen,2011-10-01,
saneren verontreinigde landbodems,33,IM10,saneren verontreinigde landbodems,Immissiemaatregelen,2011-10-01,
aanleg zuiveringsmoeras bij lozingsen/of innamepunt,32,IM09,aanleg zuiveringsmoeras bij lozingsen/of innamepunt,Immissiemaatregelen,2011-10-01,
mestvrije zones,31,IM08,mestvrije zones,Immissiemaatregelen,2011-10-01,
spuitvrije zones,30,IM07,spuitvrije zones,Immissiemaatregelen,2011-10-01,
uitvoeren op waterkwaliteit gericht onderhouds-/maaibeheer (water en natte oever),3,BE03,uitvoeren op waterkwaliteit gericht onderhouds-/maaibeheer (water en natte oever),Beheermaatregelen,2011-10-01,
opheffen ongezuiverde lozingen,29,IM06,opheffen ongezuiverde lozingen,Immissiemaatregelen,2011-10-01,
herstellen lekke riolen,28,IM05,herstellen lekke riolen,Immissiemaatregelen,2011-10-01,
zuiveren + afkoppelen verhard oppervlak,27,IM04,zuiveren + afkoppelen verhard oppervlak,Immissiemaatregelen,2011-10-01,
aanpakken overstorten gemengde stelsels,26,IM03,aanpakken overstorten gemengde stelsels,Immissiemaatregelen,2011-10-01,
verminderen belasting RWZI overige stoffen,25,IM02,verminderen belasting RWZI overige stoffen,Immissiemaatregelen,2011-10-01,
verminderen belasting RWZI nutrienten,24,IM01,verminderen belasting RWZI nutrienten,Immissiemaatregelen,2011-10-01,
gewenste grond- en oppervlaktewaterregime,23,GGOR,gewenste grond- en oppervlaktewaterregime,Overige maatregelen,2014-06-28,
overige generieke maatregelen,22,G04,overige generieke maatregelen,Generieke maatregelen,2011-10-01,generieke maatregelen
aanpassen/introduceren (nieuwe) wetgeving,21,G03,aanpassen/introduceren (nieuwe) wetgeving,Generieke maatregelen,2011-10-01,
brongericht bestrijdingsmiddelen,20,G02,brongericht bestrijdingsmiddelen,Generieke maatregelen,2011-10-01,
"uitvoeren actief vegetatiebeheer (enten, zaaien, planten)",2,BE02,"uitvoeren actief vegetatiebeheer (enten, zaaien, planten)",Beheermaatregelen,2011-10-01,
brongericht nutrienten,19,G01,brongericht nutrienten,Generieke maatregelen,2011-10-01,
overige bronmaatregelen,18,BR10,overige bronmaatregelen,Bronmaatregelen,2011-10-01,
verminderen emissie gewasbeschermingsmiddelen stad,17,BR09,verminderen emissie gewasbeschermingsmiddelen stad,Bronmaatregelen,2011-10-01,
verminderen emissies bouwmaterialen,16,BR08,verminderen emissies bouwmaterialen,Bronmaatregelen,2011-10-01,
saneren uitlogende oeverbescherming,15,BR07,saneren uitlogende oeverbescherming,Bronmaatregelen,2011-10-01,
verminderen diffuse emissie industrie,14,BR06,verminderen diffuse emissie industrie,Bronmaatregelen,2011-10-01,
verminderen emissie verkeer,13,BR05,verminderen emissie verkeer,Bronmaatregelen,2011-10-01,
verminderen emissie scheepvaart,12,BR04,verminderen emissie scheepvaart,Bronmaatregelen,2011-10-01,
verminderen emissie gewasbeschermingsmiddelen landbouw,11,BR03,verminderen emissie gewasbeschermingsmiddelen landbouw,Bronmaatregelen,2011-10-01,
verminderen emissie zware metalen en overige microverontreinigingen landbouw,10,BR02,verminderen emissie zware metalen en overige microverontreinigingen landbouw,Bronmaatregelen,2011-10-01,
uitvoeren actief visstandsof schelpdierstandsbeheer,1,BE01,uitvoeren actief visstandsof schelpdierstandsbeheer,Beheermaatregelen,2011-10-01,
