Pagina,Id,Code,Omschrijving,Begin geldigheid,Gerelateerd
"Production and conditioning of wines , liquors and spirits.",77,105.03.07,"Production and conditioning of wines , liquors and spirits.",2011-11-11,
Alcohol production distillation,76,105.03.06,Alcohol production distillation,2011-11-11,
Use of ethanol in food and beverage industry,75,105.03.05,Use of ethanol in food and beverage industry,2011-11-11,
Spirits,74,105.03.04,Spirits,2011-11-11,
Beer,73,105.03.03,Beer,2011-11-11,
Wine,72,105.03.02,Wine,2011-11-11,
Bread,71,105.03.01,Bread,2011-11-11,
"Characteristic processes in the manufacture of food products, beverages and tobacco",70,105.03,"Characteristic processes in the manufacture of food products, beverages and tobacco",2011-11-11,
"Production processes in manufacturing industry, involving fuel combustion",7,104,"Production processes in manufacturing industry, involving fuel combustion",2011-11-11,
Other (including asbestos production),69,105.02.02,Other (including asbestos production),2011-11-11,
Extraction of mineral ores,68,105.02.01,Extraction of mineral ores,2011-11-11,
"Characteristic processes in the mining and quarrying industry, except of energy-producing materials",67,105.02,"Characteristic processes in the mining and quarrying industry, except of energy-producing materials",2011-11-11,
Laboratory processes,66,105.01.11,Laboratory processes,2011-11-11,
Foam blowing (insulation and construction foam),65,105.01.10,Foam blowing (insulation and construction foam),2011-11-11,
Stone crushing,64,105.01.09,Stone crushing,2011-11-11,
Drying processes,63,105.01.08,Drying processes,2011-11-11,
Mechanical grinding,62,105.01.07,Mechanical grinding,2011-11-11,
Pickling,61,105.01.06,Pickling,2011-11-11,
Impregnation treatments (other than wood),60,105.01.05,Impregnation treatments (other than wood),2011-11-11,
Stationary engines,6,101.05,Stationary engines,2011-11-11,
Wood preservation,59,105.01.04,Wood preservation,2011-11-11,
Electroplating,58,105.01.03,Electroplating,2011-11-11,
Galvanizing,57,105.01.02,Galvanizing,2011-11-11,
Cooling plants,56,105.01.01,Cooling plants,2011-11-11,
General-purpose manufacturing processes,55,105.01,General-purpose manufacturing processes,2011-11-11,
"Production processes in manufacturing industry, not involving fuel combustion",54,105,"Production processes in manufacturing industry, not involving fuel combustion",2011-11-11,
Near-surface deposits,535,301.09,Near-surface deposits,2011-11-11,
Volcanoes,534,301.08,Volcanoes,2011-11-11,
Mammals,533,301.07.02,Mammals,2011-11-11,
Termites,532,301.07.01,Termites,2011-11-11,
Animals,531,301.07,Animals,2011-11-11,
Open sea (> 6m),530,301.06.07,Open sea (> 6m),2011-11-11,
Characteristic processes in construction,53,104.16,Characteristic processes in construction,2011-11-11,
Ditches and canals,529,301.06.06,Ditches and canals,2011-11-11,
Rivers,528,301.06.05,Rivers,2011-11-11,
Drainage waters,527,301.06.04,Drainage waters,2011-11-11,
Ground waters,526,301.06.03,Ground waters,2011-11-11,
Shallow saltwaters,525,301.06.02,Shallow saltwaters,2011-11-11,
Lakes,524,301.06.01,Lakes,2011-11-11,
Waters,523,301.06,Waters,2011-11-11,
Raised bogs,522,301.05.03,Raised bogs,2011-11-11,
Drained marshes,521,301.05.02,Drained marshes,2011-11-11,
Undrained and brackish marshes,520,301.05.01,Undrained and brackish marshes,2011-11-11,
"Characteristic processes in collection, purification and distribution of water",52,104.15,"Characteristic processes in collection, purification and distribution of water",2011-11-11,
Wetlands (marshes swamps),519,301.05,Wetlands (marshes swamps),2011-11-11,
Natural grassland,518,301.04,Natural grassland,2011-11-11,
Forest fires,517,301.03,Forest fires,2011-11-11,
Non-managed coniferous forests,516,301.02,Non-managed coniferous forests,2011-11-11,
Non isoprene emitters,515,301.01.03,Non isoprene emitters,2011-11-11,
Low isoprene emitters,514,301.01.02,Low isoprene emitters,2011-11-11,
High isoprene emitters,513,301.01.01,High isoprene emitters,2011-11-11,
Non-managed deciduous forests,512,301.01,Non-managed deciduous forests,2011-11-11,
Processes in nature,511,301,Processes in nature,2011-11-11,
Other mobile sources and machinery,510,202.05,Other mobile sources and machinery,2011-11-11,
Characteristic processes in recycling industries,51,104.14,Characteristic processes in recycling industries,2011-11-11,
International cruise traffic (>1000 m),509,202.04.04,International cruise traffic (>1000 m),2011-11-11,
Domestic cruise traffic (>1000 m),508,202.04.03,Domestic cruise traffic (>1000 m),2011-11-11,
International airport traffic (LTO cycles,507,202.04.02,International airport traffic (LTO cycles <1000 m),2011-11-11,
Domestic airport traffic (LTO cycles,506,202.04.01,Domestic airport traffic (LTO cycles <1000 m),2011-11-11,
Air traffic,505,202.04,Air traffic,2011-11-11,
International sea traffic (international bunkers),504,202.03.03,International sea traffic (international bunkers),2011-11-11,
National fishing,503,202.03.02,National fishing,2011-11-11,
National sea traffic within EMEP area,502,202.03.01,National sea traffic within EMEP area,2011-11-11,
Maritime activities,501,202.03,Maritime activities,2011-11-11,
Inland goods carrying vessels,500,202.02.04,Inland goods carrying vessels,2011-11-11,
Characteristic processes in other manufacturing,50,104.13,Characteristic processes in other manufacturing,2011-11-11,
Gas turbines,5,101.04,Gas turbines,2011-11-11,
Personal watercraft,499,202.02.03,Personal watercraft,2011-11-11,
Motorboats / workboats,498,202.02.02,Motorboats / workboats,2011-11-11,
Sailing boats with auxilliary engines,497,202.02.01,Sailing boats with auxilliary engines,2011-11-11,
Inland waterways,496,202.02,Inland waterways,2011-11-11,
Locomotives,495,202.01.03,Locomotives,2011-11-11,
Rail-cars,494,202.01.02,Rail-cars,2011-11-11,
Shunting locs,493,202.01.01,Shunting locs,2011-11-11,
Railways,492,202.01,Railways,2011-11-11,
Other mobile sources,491,202,Other mobile sources,2011-11-11,
Automobile tyre and brake wear,490,201.07,Automobile tyre and brake wear,2011-11-11,
Nickel production (thermal process),49,104.12.15,Nickel production (thermal process),2011-11-11,
Gasoline evaporation from vehicles,489,201.06,Gasoline evaporation from vehicles,2011-11-11,
Urban driving,488,201.05.03,Urban driving,2011-11-11,
Rural driving,487,201.05.02,Rural driving,2011-11-11,
Highway driving,486,201.05.01,Highway driving,2011-11-11,
Motorcycles > 50 cm3,485,201.05,Motorcycles > 50 cm3,2011-11-11,
Mopeds and Motorcycles < 50 cm3,484,201.04,Mopeds and Motorcycles < 50 cm3,2011-11-11,
Urban driving,483,201.03.03,Urban driving,2011-11-11,
Rural driving,482,201.03.02,Rural driving,2011-11-11,
Highway driving,481,201.03.01,Highway driving,2011-11-11,
Heavy duty vehicles > 3.5 t and buses,480,201.03,Heavy duty vehicles > 3.5 t and buses,2011-11-11,
Magnesium production (dolomite treatment),48,104.12.14,Magnesium production (dolomite treatment),2011-11-11,
Urban driving,479,201.02.03,Urban driving,2011-11-11,
Rural driving,478,201.02.02,Rural driving,2011-11-11,
Highway driving,477,201.02.01,Highway driving,2011-11-11,
Light duty vehicles < 3.5 t,476,201.02,Light duty vehicles < 3.5 t,2011-11-11,
Urban driving,475,201.01.03,Urban driving,2011-11-11,
Rural driving,474,201.01.02,Rural driving,2011-11-11,
Highway driving,473,201.01.01,Highway driving,2011-11-11,
Passenger cars,472,201.01,Passenger cars,2011-11-11,
Road transport,471,201,Road transport,2011-11-11,
Leakage/spillage from air conditioning systems,470,112.06.04,Leakage/spillage from air conditioning systems,2011-11-11,
Alumina production,47,104.12.13,Alumina production,2011-11-11,
Leakage/spillage of mercury vapour lamps,469,112.06.03,Leakage/spillage of mercury vapour lamps,2011-11-11,
Leakage/spillage of mercury thermometers,468,112.06.02,Leakage/spillage of mercury thermometers,2011-11-11,
Leakage/spillage of PCB closed systems,467,112.06.01,Leakage/spillage of PCB closed systems,2011-11-11,
Leakage and spillage from equipment,466,112.06,Leakage and spillage from equipment,2011-11-11,
Use of aerosols,465,112.05,Use of aerosols,2011-11-11,
Fire suppression,464,112.04,Fire suppression,2011-11-11,
"Fires: including buildings, cars, other fires: excluding agriculture and forest fires",463,112.03,"Fires: including buildings, cars, other fires: excluding agriculture and forest fires",2011-11-11,
UV lamps,462,112.02,UV lamps,2011-11-11,
photocopying machines,461,112.01,photocopying machines,2011-11-11,
Processes common to all branches,460,112,Processes common to all branches,2011-11-11,
Alumina production,46,104.12.12,Alumina production,2011-11-11,
industrial laundries,459,111.01,industrial laundries,2011-11-11,
Processes characteristic of service branches,458,111,Processes characteristic of service branches,2011-11-11,
Rearing of non-salmonid fish species,457,110.18.03,Rearing of non-salmonid fish species,2011-11-11,
Rearing of salmonid fish species,456,110.18.02,Rearing of salmonid fish species,2011-11-11,
Rearing of crustaceans,455,110.18.01,Rearing of crustaceans,2011-11-11,
Processes specific to aquaculture,454,110.18,Processes specific to aquaculture,2011-11-11,
Other,453,110.17.05,Other,2011-11-11,
Grassland,452,110.17.04,Grassland,2011-11-11,
Boreal forests,451,110.17.03,Boreal forests,2011-11-11,
Temperate forests,450,110.17.02,Temperate forests,2011-11-11,
Secondary aluminium production,45,104.12.11,Secondary aluminium production,2011-11-11,
Tropical forests,449,110.17.01,Tropical forests,2011-11-11,
LUWC-Managed land abandonment > 20years /Soil carbon uptake,448,110.17,LUWC-Managed land abandonment > 20years /Soil carbon uptake,2011-11-11,
Other,447,110.16.05,Other,2011-11-11,
Grassland,446,110.16.04,Grassland,2011-11-11,
Boreal forests,445,110.16.03,Boreal forests,2011-11-11,
Temperate forests,444,110.16.02,Temperate forests,2011-11-11,
Tropical forests,443,110.16.01,Tropical forests,2011-11-11,
LUWC-Managed land abandonment >20years /Aboveground biomass carbon uptake,442,110.16,LUWC-Managed land abandonment >20years /Aboveground biomass carbon uptake,2011-11-11,
Other,441,110.15.05,Other,2011-11-11,
Grassland,440,110.15.04,Grassland,2011-11-11,
Secondary copper production,44,104.12.10,Secondary copper production,2011-11-11,
Boreal forests,439,110.15.03,Boreal forests,2011-11-11,
Temperate forests,438,110.15.02,Temperate forests,2011-11-11,
Tropical forests,437,110.15.01,Tropical forests,2011-11-11,
LUWC-Managed land abandonment < 20years /Soil carbon uptake,436,110.15,LUWC-Managed land abandonment < 20years /Soil carbon uptake,2011-11-11,
Other,435,110.14.05,Other,2011-11-11,
Grassland,434,110.14.04,Grassland,2011-11-11,
Boreal forests,433,110.14.03,Boreal forests,2011-11-11,
Temperate forests,432,110.14.02,Temperate forests,2011-11-11,
Tropical forests,431,110.14.01,Tropical forests,2011-11-11,
LUWC-Managed land abandonment < 20 years /Aboveground biomass carbon uptake,430,110.14,LUWC-Managed land abandonment < 20 years /Aboveground biomass carbon uptake,2011-11-11,
Secondary zinc production,43,104.12.09,Secondary zinc production,2011-11-11,
Other,429,110.13.05,Other,2011-11-11,
Grassland,428,110.13.04,Grassland,2011-11-11,
Boreal forests,427,110.13.03,Boreal forests,2011-11-11,
Temperate forests,426,110.13.02,Temperate forests,2011-11-11,
Tropical forests,425,110.13.01,Tropical forests,2011-11-11,
LUWC-Conversion /Soil carbon release,424,110.13,LUWC-Conversion /Soil carbon release,2011-11-11,
Other,423,110.12.05,Other,2011-11-11,
Grassland,422,110.12.04,Grassland,2011-11-11,
Boreal forests,421,110.12.03,Boreal forests,2011-11-11,
Temperate forests,420,110.12.02,Temperate forests,2011-11-11,
Secondary lead production,42,104.12.08,Secondary lead production,2011-11-11,
Tropical forests,419,110.12.01,Tropical forests,2011-11-11,
LUWC-Conversion /Aboveground biomass decay,418,110.12,LUWC-Conversion /Aboveground biomass decay,2011-11-11,
Other off site,417,110.11.10,Other off site,2011-11-11,
Other on site,416,110.11.09,Other on site,2011-11-11,
Grassland off site,415,110.11.08,Grassland off site,2011-11-11,
Grassland on site,414,110.11.07,Grassland on site,2011-11-11,
Boreal forests off site,413,110.11.06,Boreal forests off site,2011-11-11,
Boreal forests on site,412,110.11.05,Boreal forests on site,2011-11-11,
Temperate forests off site,411,110.11.04,Temperate forests off site,2011-11-11,
Temperate forests on site,410,110.11.03,Temperate forests on site,2011-11-11,
Primary copper production,41,104.12.07,Primary copper production,2011-11-11,
Tropical forests off site,409,110.11.02,Tropical forests off site,2011-11-11,
Tropical forests on site,408,110.11.01,Tropical forests on site,2011-11-11,
LUWC-Conversion /Burning aboveground biomass,407,110.11,LUWC-Conversion /Burning aboveground biomass,2011-11-11,
Other wood use,406,110.10.03,Other wood use,2011-11-11,
Traditional fuelwood consumed,405,110.10.02,Traditional fuelwood consumed,2011-11-11,
Biomass in commercial harvest,404,110.10.01,Biomass in commercial harvest,2011-11-11,
LUWC-Wood Biomass stock change /annual harvest,403,110.1,LUWC-Wood Biomass stock change /annual harvest,2011-11-11,
Non-forest trees,402,110.09.09,Non-forest trees,2011-11-11,
Other ecosystem types,401,110.09.08,Other ecosystem types,2011-11-11,
Boreal forests,400,110.09.07,Boreal forests,2011-11-11,
Primary zinc production,40,104.12.06,Primary zinc production,2011-11-11,
Combustion plants < 50 MW (boilers),4,101.03,Combustion plants < 50 MW (boilers),2011-11-11,
Temperate forests/Other,399,110.09.06,Temperate forests/Other,2011-11-11,
Temperate forests/Commercial,398,110.09.05,Temperate forests/Commercial,2011-11-11,
Temperate forests/Plantations,397,110.09.04,Temperate forests/Plantations,2011-11-11,
Tropical forests/Other,396,110.09.03,Tropical forests/Other,2011-11-11,
Tropical forests/Other managed forests,395,110.09.02,Tropical forests/Other managed forests,2011-11-11,
Tropical forests/Plantations,394,110.09.01,Tropical forests/Plantations,2011-11-11,
LUWC-Wood biomass stock change /annual growth,393,110.09,LUWC-Wood biomass stock change /annual growth,2011-11-11,
Managed coniferous forests,392,110.08,Managed coniferous forests,2011-11-11,
Non isoprene emitters,391,110.07.03,Non isoprene emitters,2011-11-11,
Low isoprene emitters,390,110.07.02,Low isoprene emitters,2011-11-11,
Primary lead production,39,104.12.05,Primary lead production,2011-11-11,
High isoprene emitters,389,110.07.01,High isoprene emitters,2011-11-11,
Managed deciduous forests,388,110.07,Managed deciduous forests,2011-11-11,
Use of pesticides in agriculture and forestry,387,110.06,Use of pesticides in agriculture and forestry,2011-11-11,
Other,386,110.05.15,Other,2011-11-11,
Buffalo,385,110.05.14,Buffalo,2011-11-11,
Camels,384,110.05.13,Camels,2011-11-11,
Mules and asses,383,110.05.12,Mules and asses,2011-11-11,
Goats,382,110.05.11,Goats,2011-11-11,
Fur animals,381,110.05.10,Fur animals,2011-11-11,
"Other poultry (ducks, geese, etc.)",380,110.05.09,"Other poultry (ducks, geese, etc.)",2011-11-11,
Gray iron foundries,38,104.12.04,Gray iron foundries,2011-11-11,
Broilers,379,110.05.08,Broilers,2011-11-11,
Laying hens,378,110.05.07,Laying hens,2011-11-11,
Horses,377,110.05.06,Horses,2011-11-11,
Ovines,376,110.05.05,Ovines,2011-11-11,
Sows,375,110.05.04,Sows,2011-11-11,
Fattening pigs,374,110.05.03,Fattening pigs,2011-11-11,
Other cattle,373,110.05.02,Other cattle,2011-11-11,
Dairy cows,372,110.05.01,Dairy cows,2011-11-11,
Manure management,371,110.05,Manure management,2011-11-11,
Other,370,110.04.15,Other,2011-11-11,
Reheating furnaces steel and iron,37,104.12.03,Reheating furnaces steel and iron,2011-11-11,
Buffalo,369,110.04.14,Buffalo,2011-11-11,
Camels,368,110.04.13,Camels,2011-11-11,
Sows,367,110.04.12,Sows,2011-11-11,
Fur animals,366,110.04.11,Fur animals,2011-11-11,
"Other poultry (ducks, geese, etc.)",365,110.04.10,"Other poultry (ducks, geese, etc.)",2011-11-11,
Broilers,364,110.04.09,Broilers,2011-11-11,
Laying hens,363,110.04.08,Laying hens,2011-11-11,
Goats,362,110.04.07,Goats,2011-11-11,
Mules and asses,361,110.04.06,Mules and asses,2011-11-11,
Horses,360,110.04.05,Horses,2011-11-11,
Sinter plants,36,104.12.02,Sinter plants,2011-11-11,
Fattening pigs,359,110.04.04,Fattening pigs,2011-11-11,
Ovines,358,110.04.03,Ovines,2011-11-11,
Other cattle,357,110.04.02,Other cattle,2011-11-11,
Dairy cows,356,110.04.01,Dairy cows,2011-11-11,
Enteric fermentation,355,110.04,Enteric fermentation,2011-11-11,
"On-field burning of stubble, straw,...",354,110.03,"On-field burning of stubble, straw,...",2011-11-11,
Fallows,353,110.02.06,Fallows,2011-11-11,
Grassland,352,110.02.05,Grassland,2011-11-11,
Market gardening,351,110.02.04,Market gardening,2011-11-11,
Rice field,350,110.02.03,Rice field,2011-11-11,
Blast furnace cowpers,35,104.12.01,Blast furnace cowpers,2011-11-11,
Arable land crops,349,110.02.02,Arable land crops,2011-11-11,
Permanent crops,348,110.02.01,Permanent crops,2011-11-11,
Cultures without fertilizers,347,110.02,Cultures without fertilizers,2011-11-11,
Fallows,346,110.01.06,Fallows,2011-11-11,
Grassland,345,110.01.05,Grassland,2011-11-11,
Market gardening,344,110.01.04,Market gardening,2011-11-11,
Rice field,343,110.01.03,Rice field,2011-11-11,
Arable land crops,342,110.01.02,Arable land crops,2011-11-11,
Permanent crops,341,110.01.01,Permanent crops,2011-11-11,
Cultures with fertilizers (except animal manure),340,110.01,Cultures with fertilizers (except animal manure),2011-11-11,
Characteristic processes in the manufacture of basic metals and fabricated metal products,34,104.12,Characteristic processes in the manufacture of basic metals and fabricated metal products,2011-11-11,
"Processes specific to agriculture, forestry and fishing",339,110,"Processes specific to agriculture, forestry and fishing",2011-11-11,
Recycling of animal carcasses and animal waste,338,109.04.09,Recycling of animal carcasses and animal waste,2011-11-11,
Refuse Derived Fuel production,337,109.04.08,Refuse Derived Fuel production,2011-11-11,
Latrines,336,109.04.07,Latrines,2011-11-11,
Biogas production,335,109.04.06,Biogas production,2011-11-11,
Compost production from waste,334,109.04.05,Compost production from waste,2011-11-11,
Land filling,333,109.04.04,Land filling,2011-11-11,
Sludge spreading,332,109.04.03,Sludge spreading,2011-11-11,
Waste water treatment in residential/commercial sectors,331,109.04.02,Waste water treatment in residential/commercial sectors,2011-11-11,
Waste water treatment in industry,330,109.04.01,Waste water treatment in industry,2011-11-11,
Fine ceramic materials,33,104.11.12,Fine ceramic materials,2011-11-11,
Other waste treatment,329,109.04,Other waste treatment,2011-11-11,
Incineration of carcasses,328,109.03.02,Incineration of carcasses,2011-11-11,
Incineration of corpses,327,109.03.01,Incineration of corpses,2011-11-11,
Cremation,326,109.03,Cremation,2011-11-11,
Open burning of agricultural wastes (except 10.03),325,109.02,Open burning of agricultural wastes (except 10.03),2011-11-11,
Incineration of waste oil,324,109.01.08,Incineration of waste oil,2011-11-11,
Incineration of hospital wastes,323,109.01.07,Incineration of hospital wastes,2011-11-11,
Flaring in gas and oil extraction,322,109.01.06,Flaring in gas and oil extraction,2011-11-11,
Incineration of sludges from waste water treatment,321,109.01.05,Incineration of sludges from waste water treatment,2011-11-11,
Flaring in chemical industries,320,109.01.04,Flaring in chemical industries,2011-11-11,
Brick furnaces,32,104.11.11,Brick furnaces,2011-11-11,
Flaring in oil refinery,319,109.01.03,Flaring in oil refinery,2011-11-11,
Incineration of industrial wastes (except flaring),318,109.01.02,Incineration of industrial wastes (except flaring),2011-11-11,
Incineration of domestic or municipal wastes,317,109.01.01,Incineration of domestic or municipal wastes,2011-11-11,
Waste incineration,316,109.01,Waste incineration,2011-11-11,
Waste treatment and disposal operations,315,109,Waste treatment and disposal operations,2011-11-11,
Fuel reprocessing,314,108.07,Fuel reprocessing,2011-11-11,
Fast-breeder reactors (FBR),313,108.06,Fast-breeder reactors (FBR),2011-11-11,
"Gas-cooled (CO2), graphite-moderated reactors (GCR)",312,108.05,"Gas-cooled (CO2), graphite-moderated reactors (GCR)",2011-11-11,
Advanced gas-cooled reactors (AGR),311,108.04,Advanced gas-cooled reactors (AGR),2011-11-11,
"Light-water-cooled, graphite-moderated reactors (LWGR)",310,108.03,"Light-water-cooled, graphite-moderated reactors (LWGR)",2011-11-11,
Bricks and tiles,31,104.11.10,Bricks and tiles,2011-11-11,
Boiling water reactors (BWR),309,108.02,Boiling water reactors (BWR),2011-11-11,
Pressurised water reactors (PWR),308,108.01,Pressurised water reactors (PWR),2011-11-11,
Processes specific to the nuclear power industry,307,108,Processes specific to the nuclear power industry,2011-11-11,
Use of pesticides (other than agriculture and forestry),306,107.06,Use of pesticides (other than agriculture and forestry),2011-11-11,
Other use of N2O,305,107.05.02,Other use of N2O,2011-11-11,
Use of N2O for anaesthesia,304,107.05.01,Use of N2O for anaesthesia,2011-11-11,
Use of N2O,303,107.05,Use of N2O,2011-11-11,
Use of benzene as solvent,302,107.04.13,Use of benzene as solvent,2011-11-11,
"Other (preservation of seeds,...)",301,107.04.12,"Other (preservation of seeds,...)",2011-11-11,
Domestic use of pharmaceutical products,300,107.04.11,Domestic use of pharmaceutical products,2011-11-11,
Mineral wool (except binding),30,104.11.09,Mineral wool (except binding),2011-11-11,
Combustion plants >= 50 and < 300 MW (boilers),3,101.02,Combustion plants >= 50 and < 300 MW (boilers),2011-11-11,
Pharmaceutical products manufacturing,299,107.04.10,Pharmaceutical products manufacturing,2011-11-11,
Vehicles dewaxing,298,107.04.09,Vehicles dewaxing,2011-11-11,
Domestic solvent use (other than paint application),297,107.04.08,Domestic solvent use (other than paint application),2011-11-11,
Underseal treatment and conservation of vehicles,296,107.04.07,Underseal treatment and conservation of vehicles,2011-11-11,
Preservation of wood,295,107.04.06,Preservation of wood,2011-11-11,
Application of glues and adhesives,294,107.04.05,Application of glues and adhesives,2011-11-11,
"Fat, edible and non edible oil extraction",293,107.04.04,"Fat, edible and non edible oil extraction",2011-11-11,
Printing industry,292,107.04.03,Printing industry,2011-11-11,
Mineral wool enduction,291,107.04.02,Mineral wool enduction,2011-11-11,
Glass wool enduction,290,107.04.01,Glass wool enduction,2011-11-11,
Other glass,29,104.11.08,Other glass,2011-11-11,
Other use of solvents and related activities,289,107.04,Other use of solvents and related activities,2011-11-11,
Other,288,107.03.99,Other,2011-11-11,
Use of ethanol in chemical product manufacture,287,107.03.14,Use of ethanol in chemical product manufacture,2011-11-11,
Leather tanning,286,107.03.13,Leather tanning,2011-11-11,
Textile finishing,285,107.03.12,Textile finishing,2011-11-11,
"Adhesive, magnetic tapes, films and photographs",284,107.03.11,"Adhesive, magnetic tapes, films and photographs",2011-11-11,
Asphalt blowing,283,107.03.10,Asphalt blowing,2011-11-11,
Glues manufacturing,282,107.03.09,Glues manufacturing,2011-11-11,
Inks manufacturing,281,107.03.08,Inks manufacturing,2011-11-11,
Paints manufacturing,280,107.03.07,Paints manufacturing,2011-11-11,
Glass wool (except binding),28,104.11.07,Glass wool (except binding),2011-11-11,
Pharmaceutical products manufacturing,279,107.03.06,Pharmaceutical products manufacturing,2011-11-11,
Rubber processing,278,107.03.05,Rubber processing,2011-11-11,
Polystyrene foam processing,277,107.03.04,Polystyrene foam processing,2011-11-11,
Polyurethane processing,276,107.03.03,Polyurethane processing,2011-11-11,
Polyvinylchloride processing,275,107.03.02,Polyvinylchloride processing,2011-11-11,
Polyester processing,274,107.03.01,Polyester processing,2011-11-11,
Chemical products manufacturing or processing,273,107.03,Chemical products manufacturing or processing,2011-11-11,
Other industrial cleaning,272,107.02.04,Other industrial cleaning,2011-11-11,
Electronic components manufacturing,271,107.02.03,Electronic components manufacturing,2011-11-11,
Dry cleaning,270,107.02.02,Dry cleaning,2011-11-11,
Container glass,27,104.11.06,Container glass,2011-11-11,
Metal degreasing,269,107.02.01,Metal degreasing,2011-11-11,
"Degreasing, dry cleaning and electronics",268,107.02,"Degreasing, dry cleaning and electronics",2011-11-11,
Other non industrial paint application,267,107.01.09,Other non industrial paint application,2011-11-11,
Other industrial paint application,266,107.01.08,Other industrial paint application,2011-11-11,
Paint application : wood,265,107.01.07,Paint application : wood,2011-11-11,
Paint application : boat building,264,107.01.06,Paint application : boat building,2011-11-11,
Paint application : coil coating,263,107.01.05,Paint application : coil coating,2011-11-11,
Paint application : domestic use (except 107.01.07),262,107.01.04,Paint application : domestic use (except 107.01.07),2011-11-11,
Paint application : construction and buildings (except 107.01.07),261,107.01.03,Paint application : construction and buildings (except 107.01.07),2011-11-11,
Paint application : car repairing,260,107.01.02,Paint application : car repairing,2011-11-11,
Flat glass,26,104.11.05,Flat glass,2011-11-11,
Paint application : manufacture of automobiles,259,107.01.01,Paint application : manufacture of automobiles,2011-11-11,
Paint application,258,107.01,Paint application,2011-11-11,
Processes involving use of solvents and other products,257,107,Processes involving use of solvents and other products,2011-11-11,
Geothermal energy extraction,256,106.07,Geothermal energy extraction,2011-11-11,
Distribution networks,255,106.06.02,Distribution networks,2011-11-11,
Pipelines,254,106.06.01,Pipelines,2011-11-11,
Gas distribution networks,253,106.06,Gas distribution networks,2011-11-11,
Service stations (including refuelling of cars),252,106.05.03,Service stations (including refuelling of cars),2011-11-11,
Transport and depots (except 05.05.03),251,106.05.02,Transport and depots (except 05.05.03),2011-11-11,
Refinery dispatch station,250,106.05.01,Refinery dispatch station,2011-11-11,
Asphalt concrete plants,25,104.11.04,Asphalt concrete plants,2011-11-11,
Gasoline distribution,249,106.05,Gasoline distribution,2011-11-11,
Other handling and storage (including pipeline),248,106.04.02,Other handling and storage (including pipeline),2011-11-11,
"Marine terminals (tankers, handling and storage)",247,106.04.01,"Marine terminals (tankers, handling and storage)",2011-11-11,
Liquid fuel distribution (except gasoline distribution),246,106.04,Liquid fuel distribution (except gasoline distribution),2011-11-11,
Natural gas cleaning,245,106.03.06,Natural gas cleaning,2011-11-11,
Coal gas cleaning for its public distribution,244,106.03.05,Coal gas cleaning for its public distribution,2011-11-11,
Oil drilling: exhaust emissions,243,106.03.04,Oil drilling: exhaust emissions,2011-11-11,
Off-shore activities,242,106.03.03,Off-shore activities,2011-11-11,
Land-based activities (other than desulfuration),241,106.03.02,Land-based activities (other than desulfuration),2011-11-11,
Land-based desulfuration,240,106.03.01,Land-based desulfuration,2011-11-11,
Concrete plants,24,104.11.03,Concrete plants,2011-11-11,
"Extraction, 1st treatment and loading of gaseous fossil fuels",239,106.03,"Extraction, 1st treatment and loading of gaseous fossil fuels",2011-11-11,
Oil drilling: exhaust emissions,238,106.02.03,Oil drilling: exhaust emissions,2011-11-11,
Off-shore activities,237,106.02.02,Off-shore activities,2011-11-11,
