Pagina,Id,Code,Omschrijving,Groep,Omschrijving Engels,Begin geldigheid,Gerelateerd
Maatregelen om fysiek verlies van zeebodemhabitats in mariene wateren te verminderen (en niet gerapporteerd onder KTM 6 met betrekking tot kustwateren KRW),30,KTM26,Maatregelen om fysiek verlies van zeebodemhabitats in mariene wateren te verminderen (en niet gerapporteerd onder KTM 6 met betrekking tot kustwateren KRW),EU-KRM,Measures to reduce physical loss of seabed habitats in marine waters (and not reported under KTM 6 in relation to WFD Coastal Waters),2021-03-12,
Nutriëntenreductie vanuit diverse bronnen,3,KTMNL01,Nutriëntenreductie vanuit diverse bronnen,NL-KRW,Reduce nutrient pollution from multiple drivers,2025-11-26,
Maatregelen gericht op bewustwording (o.a. educatie),28,KTMNL03,Maatregelen gericht op bewustwording (o.a. educatie),NL-KRW,Awareness raising measures (e.g. education),2025-11-26,
Maatregelen om verzuring tegen te gaan,27,KTM25,Maatregelen om verzuring tegen te gaan,EU-KRW,Measures to counteract acidification,2019-12-18,
Aanpassen aan gevolgen van klimaatverandering,26,KTM24,Aanpassen aan gevolgen van klimaatverandering,EU-KRW,Adaptation to climate change,2019-12-18,
"Natuurlijke waterretentie maatregelen (o.a. wadi's, retentievijvers of andere vormen van water vasthouden)",25,KTM23,"Natuurlijke waterretentie maatregelen (o.a. wadi's, retentievijvers of andere vormen van water vasthouden)",EU-KRW,Natural water retention measures,2019-12-18,
Maatregelen om verontreinigingen uit de bosbouw te voorkomen of beperken,24,KTM22,Maatregelen om verontreinigingen uit de bosbouw te voorkomen of beperken,EU-KRW,Measures to prevent or control the input of pollution from forestry,2019-12-18,
"Maatregelen om verontreinigingen uit stedelijke gebieden, vervoer en gebouwde infrastructuur te voorkomen of beperken",23,KTM21,"Maatregelen om verontreinigingen uit stedelijke gebieden, vervoer en gebouwde infrastructuur te voorkomen of beperken",EU-KRW,"Measures to prevent or control the input of pollution from urban areas, transport and built infrastructure",2019-12-18,
Maatregelen gericht op het voorkomen en beheersen van negatieve effecten van visserij en andere vormen van exploitatie / verwijdering van dieren en planten te voorkomen of beperken (exclusief hengelsport),22,KTM20,Maatregelen gericht op het voorkomen en beheersen van negatieve effecten van visserij en andere vormen van exploitatie / verwijdering van dieren en planten te voorkomen of beperken (exclusief hengelsport),EU-KRW,Measures to prevent or control the adverse impacts of fishing and other exploitation/removal of animal and plants,2019-12-18,
Maatregelen gericht op het voorkomen en beheersen van negatieve effecten van recreatie (inclusief hengelsport),21,KTM19,Maatregelen gericht op het voorkomen en beheersen van negatieve effecten van recreatie (inclusief hengelsport),EU-KRW,Measures to prevent or control the adverse impacts of recreation including angling,2019-12-18,
Maatregelen gericht op het voorkomen en beheersen van effecten van invasieve soorten en de verspreiding van ziekten,20,KTM18,Maatregelen gericht op het voorkomen en beheersen van effecten van invasieve soorten en de verspreiding van ziekten,EU-KRW,Measures to prevent or control the adverse impacts of invasive alien species and introduced diseases,2019-12-18,
"Nutriëntreductie vanuit de landbouw (o.a. minder gebruik van kunstmest, zuiveringsmoeras)",2,KTM2,"Nutriëntreductie vanuit de landbouw (o.a. minder gebruik van kunstmest, zuiveringsmoeras)",EU-KRW,Reduce nutrient pollution from agriculture,2019-12-18,
Maatregelen gericht op de reductie van bodemerosie en afspoeling,19,KTM17,Maatregelen gericht op de reductie van bodemerosie en afspoeling,EU-KRW,Measures to reduce sediment from soil erosion and surface run-off,2019-12-18,
Vergroten of verbeteren van industriële afvalwaterzuiveringsinstallaties (ook landbouw),18,KTM16,Vergroten of verbeteren van industriële afvalwaterzuiveringsinstallaties (ook landbouw),EU-KRW,Upgrades or improvements of industrial wastewater treatment plants (including farms).,2019-12-18,
Maatregelen voor de uitfasering van emissies en lozingen van Prioritair Gevaarlijke Stoffen of de reductie van emissies en lozingen van Prioritaire Stoffen.,17,KTM15,Maatregelen voor de uitfasering van emissies en lozingen van Prioritair Gevaarlijke Stoffen of de reductie van emissies en lozingen van Prioritaire Stoffen.,EU-KRW,"Measures for the phasing out of emissions, discharges and losses of Priority Hazardous Substances or for the reduction of emissions, discharges and losses of Priority Substances",2019-12-18,
Onderzoek en vergroten van kennisbasis teneinde onzekerheid te verkleinen,16,KTM14,Onderzoek en vergroten van kennisbasis teneinde onzekerheid te verkleinen,EU-KRW,"Research, improvement of knowledge base reducing uncertainty",2019-12-18,
Drinkwaterbeschermingsmaatregelen (o.a. instellen grondwaterbeschermingszone en bufferzones),15,KTM13,Drinkwaterbeschermingsmaatregelen (o.a. instellen grondwaterbeschermingszone en bufferzones),EU-KRW,"Drinking water protection measures (e.g. establishment of safeguard zones, buffer zones etc)",2019-12-18,
Advies en voorlichting voor de landbouw,14,KTM12,Advies en voorlichting voor de landbouw,EU-KRW,Advisory services for agriculture,2019-12-18,
"Financiële maatregelen voor kostenterugwinning van waterdiensten, gericht op landbouw",13,KTM11,"Financiële maatregelen voor kostenterugwinning van waterdiensten, gericht op landbouw",EU-KRW,Water pricing policy measures for the implementation of the recovery of cost of water services from agriculture,2019-12-18,
"Financiële maatregelen voor kostenterugwinning van waterdiensten, gericht op de industrie (o.a. zuiveringsheffing)",12,KTM10,"Financiële maatregelen voor kostenterugwinning van waterdiensten, gericht op de industrie (o.a. zuiveringsheffing)",EU-KRW,Water pricing policy measures for the implementation of the recovery of cost of water services from industry,2019-12-18,
"Financiële maatregelen voor kostenterugwinning van waterdiensten, gericht op huishoudens (o.a. zuiveringsheffing)",11,KTM9,"Financiële maatregelen voor kostenterugwinning van waterdiensten, gericht op huishoudens (o.a. zuiveringsheffing)",EU-KRW,Water pricing policy measures for the implementation of the recovery of cost of water services from households,2019-12-18,
"Waterbesparing en -hergebruik, vermindering irrigatie",10,KTM8,"Waterbesparing en -hergebruik, vermindering irrigatie",EU-KRW,"Water efficiency, technical measures for irrigation, industry, energy and households",2019-12-18,
De bouw of verbetering van afvalwaterzuiveringsinstallaties,1,KTM1,De bouw of verbetering van afvalwaterzuiveringsinstallaties,EU-KRW,Construction or upgrades of wastewater treatment plants,2019-12-18,
