Pagina,Id,Code,Omschrijving,Groep,Opgericht_in,Opgeheven_per,Begin geldigheid,Gerelateerd
Eurofins Nab Labs - Oulu - FL,181,181,Eurofins Nab Labs - Oulu - FL,,,,2025-12-06,
Eurofins Bestlab Oy - Lahti - FL,180,180,Eurofins Bestlab Oy - Lahti - FL,,,,2025-12-06,
Envirolab,18,12,Envirolab,,,,2011-10-06,
Eurofins Food & Feed Testing - Lidkoping SE,179,179,Eurofins Food & Feed Testing - Lidkoping SE,,,,2025-12-06,
Eurofins Environment Testing - Lidkoping SE,178,178,Eurofins Environment Testing - Lidkoping SE,,,,2025-12-06,
Eurofins Environment Testing - Moss NO,177,177,Eurofins Environment Testing - Moss NO,,,,2025-12-06,
Eurofins Environment Testing - Bergen NO,176,176,Eurofins Environment Testing - Bergen NO,,,,2025-12-06,
Eurofins Vitamin Testing - Vejen DK,175,175,Eurofins Vitamin Testing - Vejen DK,,,,2025-12-06,
Eurofins VBM Laboratoriet - Abybro DK,174,174,Eurofins VBM Laboratoriet - Abybro DK,,,,2025-12-06,
Eurofins Product Testing - Galten DK,173,173,Eurofins Product Testing - Galten DK,,,,2025-12-06,
Eurofins Miljo Vand - Vejen DK,172,172,Eurofins Miljo Vand - Vejen DK,,,,2025-12-06,
Eurofins Miljo -  Galten DK,171,171,Eurofins Miljo -  Galten DK,,,,2025-12-06,
Eurofins Miljo - Vejen DK,170,170,Eurofins Miljo - Vejen DK,,,,2025-12-06,
ACMAA,17,1,ACMAA,,,,2011-10-06,
Eurofins Water Hygiene Testing - Wolverhampton UK,169,169,Eurofins Water Hygiene Testing - Wolverhampton UK,,,,2025-12-06,
Eurofins Athens Analysis Laboratories - Athene GR,168,168,Eurofins Athens Analysis Laboratories - Athene GR,,,,2025-12-06,
Eurofins Environment Testing - Boedapest HU,167,167,Eurofins Environment Testing - Boedapest HU,,,,2025-12-06,
Eurofins Polska - Lodz PL,166,166,Eurofins Polska - Lodz PL,,,,2025-12-06,
Eurofins Polska - Malbork PL,165,165,Eurofins Polska - Malbork PL,,,,2025-12-06,
Eurofins Polska - Katowice PL,164,164,Eurofins Polska - Katowice PL,,,,2025-12-06,
Eurofins Lab Environment Testing - Sobrosa PT,163,163,Eurofins Lab Environment Testing - Sobrosa PT,,,,2025-12-06,
Eurofins Agroambiental - Sidamon ES,162,162,Eurofins Agroambiental - Sidamon ES,,,,2025-12-06,
Eurofins Iproma - Castellon ES,161,161,Eurofins Iproma - Castellon ES,,,,2025-12-06,
Eurofins Laboratoire Coeur de France - Moulins FR,160,160,Eurofins Laboratoire Coeur de France - Moulins FR,,,,2025-12-06,
Centraal Bodemkundig Bureau,16,8,Centraal Bodemkundig Bureau,,,,2011-10-06,
Eurofins Hydrologie Ouest - Rosporden FR,159,159,Eurofins Hydrologie Ouest - Rosporden FR,,,,2025-12-06,
Eurofins Hydrologie Nord - Douai FR,158,158,Eurofins Hydrologie Nord - Douai FR,,,,2025-12-06,
Eurofins Hydrologie Est - Maxeville FR,157,157,Eurofins Hydrologie Est - Maxeville FR,,,,2025-12-06,
Eurofins Expertise Microbiologique - Maxeville - FR,156,156,Eurofins Expertise Microbiologique - Maxeville - FR,,,,2025-12-06,
Eurofins Eichrom Radioactivite - Bruz FR,155,155,Eurofins Eichrom Radioactivite - Bruz FR,,,,2025-12-06,
Eurofins Ecotoxicologie - Maxeville - FR,154,154,Eurofins Ecotoxicologie - Maxeville - FR,,,,2025-12-06,
Eurofins Analyses pour l'Environnement - Saverne FR,153,153,Eurofins Analyses pour l'Environnement - Saverne FR,,,,2025-12-06,
Eurofins Analyses pour l'Environnement (S2) - Saverne FR,152,152,Eurofins Analyses pour l'Environnement (S2) - Saverne FR,,,,2025-12-06,
Eurofins Analyses pour l'Environnement (S1) - Saverne FR,151,151,Eurofins Analyses pour l'Environnement (S1) - Saverne FR,,,,2025-12-06,
BCO,15,58,BCO,,,,2014-09-13,
Eurofins WEJ Contaminants - Hamburg DE,147,147,Eurofins WEJ Contaminants - Hamburg DE,,,,2025-12-06,
Eurofins Umwelt West - Wesseling DE,146,146,Eurofins Umwelt West - Wesseling DE,,,,2025-12-06,
Eurofins Umwelt Sudwest - Rastatt DE,145,145,Eurofins Umwelt Sudwest - Rastatt DE,,,,2025-12-06,
Eurofins Umwelt Ost - Jena DE,144,144,Eurofins Umwelt Ost - Jena DE,,,,2025-12-06,
Eurofins Umwelt Ost - Freiberg DE,143,143,Eurofins Umwelt Ost - Freiberg DE,,,,2025-12-06,
Eurofins SOFIA - Berlijn DE,142,142,Eurofins SOFIA - Berlijn DE,,,,2025-12-06,
Eurofins Institut Jager - Tubingen DE,141,141,Eurofins Institut Jager - Tubingen DE,,,,2025-12-06,
Eurofins GfA Lab Service - Hamburg DE,140,140,Eurofins GfA Lab Service - Hamburg DE,,,,2025-12-06,
BLGG AgroXpertus,14,7,BLGG AgroXpertus,,,,2011-10-06,
Eurofins Agro - Jena DE,139,139,Eurofins Agro - Jena DE,,,,2025-12-06,
Eurofins Forensics - Brugge BE,138,138,Eurofins Forensics - Brugge BE,,,,2025-12-06,
Eurofins Food Testing - Nazareth BE,137,137,Eurofins Food Testing - Nazareth BE,,,,2025-12-06,
Eurofins Euraceta - Villers-le-Bouillet BE,136,136,Eurofins Euraceta - Villers-le-Bouillet BE,,,,2025-12-06,
Eurofins Agro Testing - Nazareth BE,135,135,Eurofins Agro Testing - Nazareth BE,,,,2025-12-06,
Eurofins Agro Testing - Wageningen NL,134,134,Eurofins Agro Testing - Wageningen NL,,,,2025-12-06,
SGS - Polderdijkweg Antwerpen BE,133,133,SGS - Polderdijkweg Antwerpen BE,,,,2025-12-06,
SGS Food Analytics - Oosterhout NL,132,132,SGS Food Analytics - Oosterhout NL,,,,2025-12-06,
Normec DETS - Consett VK,131,131,Normec DETS - Consett VK,,1999-01-01,,2025-12-06,
C2S (Conseil Chimie Services) - Aix en Provence FR,130,130,C2S (Conseil Chimie Services) - Aix en Provence FR,,,,2025-12-06,
Eurofins Analytico,13,4,Eurofins Analytico,,,,2011-10-06,
PiCA (Prufinstitut Chemische Analytik) - Berlijn DE,129,129,PiCA (Prufinstitut Chemische Analytik) - Berlijn DE,,,,2025-12-06,
Labo Iliano - Destelbergen BE,128,128,Labo Iliano - Destelbergen BE,,,,2025-12-06,
DGZ (Dierengezondheidszorg Vlaanderen) - Torhout BE,127,127,DGZ (Dierengezondheidszorg Vlaanderen) - Torhout BE,,,,2025-12-06,
CELABOR - Herve BE,126,126,CELABOR - Herve BE,,,,2025-12-06,
Bodemkundige Dienst van Belgie - Leuven BE,125,125,Bodemkundige Dienst van Belgie - Leuven BE,,1945-09-09,,2025-12-06,
APB Provinciaal Instituut voor Hygiene - Antwerpen BE,124,124,APB Provinciaal Instituut voor Hygiene - Antwerpen BE,,2013-09-26,,2025-12-06,
Micro-Analyse Zeeland - Goes NL,123,123,Micro-Analyse Zeeland - Goes NL,,,,2025-12-06,
AGROLAB Medioambiente - Tarragona ES,122,122,AGROLAB Medioambiente - Tarragona ES,,,,2025-12-06,
Datura Environmental Solutions,121,121,Datura Environmental Solutions,,2019-06-03,,2025-11-19,
Ecofide,120,120,Ecofide,,2008-02-15,,2025-11-19,
AL-West,12,3,AL-West,,,,2011-10-06,
SpyGen,119,119,SpyGen,,2011-01-01,,2025-08-29,
AGROLAB AWBE - Zelzate. BE,118,118,AGROLAB AWBE - Zelzate. BE,,2025-02-13,,2025-06-04,
AGROLAB Dr. Verwey B.V. - Barendrecht. NL,117,117,AGROLAB Dr. Verwey B.V. - Barendrecht. NL,,1901-01-01,,2025-06-04,
Normec Groen Agro Control,116,116,Normec Groen Agro Control,,2006-11-29,,2025-03-21,
AGROLAB France SARL - Dijon. FR,115,115,AGROLAB France SARL - Dijon. FR,,2005-01-01,,2024-10-18,
Eurofins Spanje,114,114,Eurofins Spanje,,,,2024-10-08,
Waders Milieu B.V.,113,113,Waders Milieu B.V.,,2019-01-01,,2024-08-21,
Bureau Biota,112,112,Bureau Biota,,2014-02-01,,2024-02-22,
Labo Derva,111,111,Labo Derva,,1980-01-01,,2023-07-05,
microLAN B.V.,110,110,microLAN B.V.,,2003-03-03,,2023-06-01,
Witteveen + Bos,11,21,Witteveen + Bos,,,,2011-10-06,
WESSLING Frankrijk,109,109,WESSLING Frankrijk,,1983-01-01,,2023-03-18,
MILON,108,108,MILON,,1992-03-01,,2023-01-18,
Sambiose,107,107,Sambiose,,2022-02-22,,2022-07-13,
"Labo Devlieger - Van Vooren (LDVV), Zelzate",106,106,"Labo Devlieger - Van Vooren (LDVV), Zelzate",,2005-12-30,,2022-03-01,
Ecologisch Adviesbureau Stachys,105,105,Ecologisch Adviesbureau Stachys,,,,2021-12-18,
Waterbouwkundig laboratorium Vlaanderen,104,104,Waterbouwkundig laboratorium Vlaanderen,,1933-01-01,,2021-08-06,
Nederlands Instituut voor Onderzoek der Zee (NIOZ),103,103,Nederlands Instituut voor Onderzoek der Zee (NIOZ),,1876-01-01,,2021-08-06,
TCKI Technisch Centrum voor de Keramische Industrie,102,102,TCKI Technisch Centrum voor de Keramische Industrie,,1997-09-25,,2021-01-20,
Vlaamse Milieumaatschappij,101,101,Vlaamse Milieumaatschappij,,1990-12-21,,2020-09-01,
Eurofins Frankrijk,100,100,Eurofins Frankrijk,,,,2020-05-05,
Tjaden,10,20,Tjaden,,,,2011-10-06,
De Ruiter Boringen en Bemalingen,1,10,De Ruiter Boringen en Bemalingen,,,,2011-10-06,
